timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597007714243,75,open_site,200,,sendComment 1-1,text,true,,22653,356,1,2,http://localhost:8080/,74,0,35
1597007714243,75,open_site,200,,clearGuestbookHistory 2-1,text,true,,22653,356,1,2,http://localhost:8080/,74,0,35
1597007714143,75,Главная,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,22653,356,1,2,null,74,103,35
1597007714144,75,Главная,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22653,356,1,2,null,74,102,35
1597007714322,16,guest,200,,clearGuestbookHistory 2-1,text,true,,4112,403,1,2,http://localhost:8080/guestbook.html,16,0,0
1597007714322,16,clients,200,,sendComment 1-1,text,true,,6135,401,1,2,http://localhost:8080/clients.html,16,0,0
1597007714322,16,Клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,401,1,2,null,16,6,0
1597007714345,12,guest,200,,sendComment 1-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,12,0,0
1597007714358,17,send_comment,200,,sendComment 1-1,text,true,,274,578,1,2,http://localhost:8080/service/guestbook,17,0,0
1597007714345,29,Оптравка комментария,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4386,993,1,2,null,29,2,0
1597007714340,35,guest,200,,clearGuestbookHistory 2-1,text,true,,10614,406,1,2,http://localhost:8080/service/guestbook,35,0,0
1597007714376,16,Guest comments,200,,sendComment 1-1,text,true,,10675,136,1,2,http://localhost:8080/service/guestbook,16,0,0
1597007714376,16,Проверка комментария,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,10675,136,1,2,null,16,1,0
1597007714501,140,Clear guestbook,200,OK,clearGuestbookHistory 2-1,text,true,,11,0,1,2,null,140,0,131
1597007714322,191,Гостевая книга,200,"Number of samples in transaction : 3, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,14737,809,1,2,null,191,128,131
1597007714896,10,open_site,200,,sendComment 1-1,text,true,,22653,356,1,2,http://localhost:8080/,10,0,0
1597007714395,10,Главная,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22653,356,1,2,null,10,502,0
1597007714907,9,clients,200,,sendComment 1-1,text,true,,6135,401,1,2,http://localhost:8080/clients.html,9,0,0
1597007714907,9,Клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,401,1,2,null,9,0,0
1597007714917,8,guest,200,,sendComment 1-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,8,0,0
1597007714926,9,send_comment,200,,sendComment 1-1,text,true,,274,581,1,2,http://localhost:8080/service/guestbook,9,0,0
1597007714917,17,Оптравка комментария,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4386,996,1,2,null,17,2,0
1597007714936,5,Guest comments,200,,sendComment 1-1,text,true,,334,136,1,2,http://localhost:8080/service/guestbook,5,0,0
1597007714936,5,Проверка комментария,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,334,136,1,2,null,5,1,0
1597007715444,12,open_site,200,,sendComment 1-1,text,true,,22653,356,1,2,http://localhost:8080/,12,0,0
1597007714943,12,Главная,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22653,356,1,2,null,12,502,0
1597007715457,9,clients,200,,sendComment 1-1,text,true,,6135,401,1,2,http://localhost:8080/clients.html,9,0,0
1597007715457,9,Клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,401,1,2,null,9,1,0
1597007715468,8,guest,200,,sendComment 1-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,8,0,0
1597007715477,5,send_comment,200,,sendComment 1-1,text,true,,274,463,1,2,http://localhost:8080/service/guestbook,5,0,0
1597007715467,13,Оптравка комментария,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4386,878,1,2,null,13,3,0
1597007715483,4,Guest comments,200,,sendComment 1-1,text,true,,364,136,1,2,http://localhost:8080/service/guestbook,4,0,0
1597007715483,4,Проверка комментария,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,364,136,1,2,null,4,0,0
1597007715990,11,open_site,200,,sendComment 1-1,text,true,,22653,356,1,2,http://localhost:8080/,11,0,0
1597007715488,11,Главная,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22653,356,1,2,null,11,503,0
1597007716002,9,clients,200,,sendComment 1-1,text,true,,6135,401,1,2,http://localhost:8080/clients.html,9,0,0
1597007716002,9,Клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,401,1,2,null,9,1,0
1597007716013,10,guest,200,,sendComment 1-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,10,0,0
1597007716024,8,send_comment,200,,sendComment 1-1,text,true,,274,592,1,2,http://localhost:8080/service/guestbook,8,0,0
1597007716012,18,Оптравка комментария,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4386,1007,1,2,null,18,2,0
1597007716033,4,Guest comments,200,,sendComment 1-1,text,true,,433,136,1,2,http://localhost:8080/service/guestbook,4,0,0
1597007716032,4,Проверка комментария,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,433,136,1,2,null,4,1,0
1597007716038,11,open_site,200,,sendComment 1-1,text,true,,22653,356,1,2,http://localhost:8080/,10,0,0
1597007716038,11,Главная,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22653,356,1,2,null,10,0,0
1597007716050,8,clients,200,,sendComment 1-1,text,true,,6135,401,1,2,http://localhost:8080/clients.html,8,0,0
1597007716050,8,Клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,401,1,2,null,8,1,0
1597007716060,9,guest,200,,sendComment 1-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,9,0,0
1597007716070,5,send_comment,200,,sendComment 1-1,text,true,,274,534,1,2,http://localhost:8080/service/guestbook,5,0,0
1597007716060,14,Оптравка комментария,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4386,949,1,2,null,14,2,0
1597007716077,4,Guest comments,200,,sendComment 1-1,text,true,,478,136,1,2,http://localhost:8080/service/guestbook,4,0,0
1597007716076,4,Проверка комментария,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,478,136,1,2,null,4,1,0
1597007716584,12,open_site,200,,sendComment 1-1,text,true,,22653,356,1,2,http://localhost:8080/,11,0,0
1597007716082,12,Главная,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22653,356,1,2,null,11,503,0
1597007716598,8,clients,200,,sendComment 1-1,text,true,,6135,401,1,2,http://localhost:8080/clients.html,8,0,0
1597007716598,8,Клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,401,1,2,null,8,1,0
1597007716608,11,guest,200,,sendComment 1-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,11,0,0
1597007716620,5,send_comment,200,,sendComment 1-1,text,true,,274,533,1,2,http://localhost:8080/service/guestbook,5,0,0
1597007716607,16,Оптравка комментария,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4386,948,1,2,null,16,3,0
1597007716627,6,Guest comments,200,,sendComment 1-1,text,true,,524,136,1,2,http://localhost:8080/service/guestbook,6,0,0
1597007716626,6,Проверка комментария,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,524,136,1,2,null,6,3,0
1597007717137,9,open_site,200,,sendComment 1-1,text,true,,22653,356,1,2,http://localhost:8080/,9,0,0
1597007716635,9,Главная,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22653,356,1,2,null,9,503,0
1597007717148,8,clients,200,,sendComment 1-1,text,true,,6135,401,1,2,http://localhost:8080/clients.html,7,0,0
1597007717147,8,Клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,401,1,2,null,7,1,0
1597007717157,8,guest,200,,sendComment 1-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,8,0,0
1597007717166,4,send_comment,200,,sendComment 1-1,text,true,,274,497,1,2,http://localhost:8080/service/guestbook,4,0,0
